X	Y	Dz	Depth
4.019	-0.075	-0.01897	0.0539
4.021	-0.07	-0.01677	0.0517
4.022	-0.065	-0.01497	0.0499
4.023	-0.061	-0.01297	0.0479
4.024	-0.056	-0.01057	0.0455
4.025	-0.051	-0.00797	0.0418
4.027	-0.046	-0.00597	0.0398
4.028	-0.041	-0.00367	0.0375
4.029	-0.036	-0.00397	0.0378
4.03	-0.031	-0.00337	0.0372
4.031	-0.027	-0.00337	0.0372
4.033	-0.022	-0.00277	0.0366
4.034	-0.017	-0.00287	0.0367
4.035	-0.012	-0.00227	0.0371
4.036	-0.007	-0.00207	0.0369
4.037	-0.002	-0.00247	0.0373
4.038	0.003	-0.00317	0.038
4.04	0.007	-0.00267	0.0375
4.041	0.012	-0.00267	0.0375
4.042	0.017	-0.00217	0.037
4.043	0.022	-0.00057	0.0354
4.044	0.027	-0.00027	0.0338
4.046	0.032	-0.00027	0.0338
4.047	0.037	-0.00147	0.035
4.048	0.041	-0.00097	0.0345
4.049	0.046	-0.00057	0.0341
4.05	0.051	-0.00037	0.0339
4.052	0.056	-0.00007	0.0336
4.053	0.061	0.00013	0.0334
4.054	0.066	0.00033	0.0337
4.055	0.071	-0.00047	0.0345
4.056	0.075	-0.00047	0.0345
4.058	0.08	-0.00087	0.0349
4.059	0.085	-0.00087	0.0349
4.06	0.09	-0.00087	0.0349
4.061	0.095	-0.00037	0.0344
4.062	0.1	-0.00067	0.0347
4.063	0.105	-0.00067	0.0357
4.065	0.109	-0.00127	0.0363
4.066	0.114	-0.00087	0.0359
4.067	0.119	-0.00097	0.036
4.068	0.124	-0.00057	0.0356
4.069	0.129	-0.00077	0.0358
4.071	0.134	0.00063	0.0344
4.072	0.139	0.00153	0.0335
4.073	0.143	0.00223	0.0302
4.074	0.148	0.00343	0.029
4.075	0.153	0.00423	0.0282
4.077	0.158	0.00443	0.028
4.078	0.163	0.00453	0.0279
4.079	0.168	0.00543	0.027
4.08	0.172	0.00623	0.0262
4.081	0.177	0.00723	0.0252
4.083	0.182	0.00803	0.0255
4.084	0.187	0.00803	0.0255
4.085	0.192	0.00803	0.0255
4.216	-0.137	-0.03267	0.0681
4.216	-0.132	-0.03267	0.0681
4.217	-0.127	-0.03267	0.0681
4.218	-0.122	-0.03227	0.0677
4.218	-0.117	-0.03067	0.0661
4.219	-0.112	-0.02787	0.0633
4.22	-0.107	-0.02507	0.0605
4.22	-0.102	-0.02257	0.058
4.221	-0.097	-0.01997	0.0554
4.221	-0.092	-0.01687	0.0523
4.222	-0.087	-0.01427	0.0483
4.223	-0.082	-0.01187	0.0459
4.223	-0.077	-0.00847	0.0425
4.224	-0.072	-0.00567	0.0397
4.225	-0.067	-0.00337	0.0374
4.225	-0.062	-0.00117	0.0352
4.226	-0.057	-0.00037	0.0344
4.226	-0.053	0.00063	0.0334
4.227	-0.048	0.00103	0.0318
4.228	-0.043	0.00093	0.0319
4.228	-0.038	0.00223	0.0306
4.229	-0.033	0.00243	0.0304
4.229	-0.028	0.00243	0.0304
