iRIC output t = 7400
71,25
I,J,X,Y,Depth(m),Elevation(m),WaterSurfaceElevation(m),ShearStress(Nm-2),ElevationChange(m),FixedBedElevation(m),Vorticity(s-1),FroudeNumber,ShieldsNumber,CrossSectionalMinBedElev(m),CrossSectionalAveBedElev(m),CrossSectionalAveWaterLevel(m),SuspendedSedimentConcentration,Velocity(ms-1)X,Velocity(ms-1)Y,Velocity(ms-1) (magnitude),BedloadFlux(m2s-1)X,BedloadFlux(m2s-1)Y,BedloadFlux(m2s-1) (magnitude)
55,1,-55361.4648438,-97146.359375,0.00530530223109,9.52732142856,9.53262673079,0,0,9.52732142856,0,0,0,-1.62209559748,5.63932432582,0.751472806804,0,0,0,0,0,0,0
56,1,-55391.8515625,-97150.9140625,0.00530530223109,9.55366071427,9.5589660165,0,0,9.55366071427,0,0,0,-1.74938747445,5.93286986548,0.757284076705,0,0,0,0,0,0,0
57,1,-55421.7929688,-97155.0859375,0.00530530223109,9.5699479166,9.57525321884,0,0,9.5699479166,0,0,0,-1.87244964118,6.03318673283,0.723870352103,0,0,0,0,0,0,0
58,1,-55510.2148438,-97144.6875,0.00530530223109,9.56613095227,9.5714362545,0,0,9.56613095227,0,0,0,-1.98891053888,5.74710878588,0.603811651959,0,0,0,0,0,0,0
59,1,-55594.5664062,-97105.453125,0.00530530223109,9.55226190471,9.55756720694,0,0,9.55226190471,0,0,0,-2.10018492577,5.26813430044,0.805945179583,0,0,0,0,0,0,0
60,1,-55676.5195312,-97049.734375,0.00530530223109,9.53839285714,9.54369815937,0,0,9.53839285714,0,0,0,-2.20762547947,4.7895960684,0.618990419812,0,0,0,0,0,0,0
61,1,-55757.734375,-96989.859375,0.00530530223109,9.52330667427,9.5286119765,0,0,9.52330667427,0,0,0,-2.33225739289,4.44422435496,0.48462043146,0,0,0,0,0,0,0
62,1,-55853.3867188,-96927.546875,0.00530530223109,9.50578622087,9.5110915231,0,0,9.50578622087,0,0,0,-2.49489597046,4.36495007005,0.458550150354,0,0,0,0,0,0,0
63,1,-55950.2265625,-96874.2265625,0.00530530223109,9.48704863222,9.49235393445,0,0,9.48704863222,0,0,0,-2.67532699965,4.41895201707,0.482729091611,0,0,0,0,0,0,0
64,1,-56048.1679688,-96827.765625,0.00530530223109,9.46831104357,9.4736163458,0,0,9.46831104357,0,0,0,-2.85462088791,4.47308531868,0.609204853694,0,0,0,0,0,0,0
65,1,-56147.1289062,-96786.0078125,0.00530530223109,9.44957345491,9.45487875714,0,0,9.44957345491,0,0,0,-3.0345184732,4.52703515347,0.312320569755,0,0,0,0,0,0,0
66,1,-56247.0234375,-96746.8203125,0.00530530223109,9.43995261116,9.44525791339,0,0,9.43995261116,0,0,0,-3.0170039595,4.55885247041,0.299026448783,0,0,0,0,0,0,0
67,1,-56410.765625,-96684.703125,0.00530530223109,9.4485652572,9.45387055944,0,0,9.4485652572,0,0,0,-2.64823076183,4.54661507983,0.251042973702,0,0,0,0,0,0,0
68,1,-56576.3007812,-96623.4765625,0.00530530223109,9.46629464815,9.47159995038,0,0,9.46629464815,0,0,0,-2.51617995028,4.51287587861,0.166245631961,0,0,0,0,0,0,0
69,1,-56743.1796875,-96562.90625,0.00530530223109,9.48402403909,9.48932934132,0,0,9.48402403909,0,0,0,-3.11766803376,4.47971963805,0.0198269512267,0,0,0,0,0,0,0
70,1,-56910.9492188,-96502.78125,0.00265265111555,9.50175343003,9.50440608115,0,0,9.50175343003,0,0,0,-3.71766713815,4.44639016674,-0.292098125317,0,0,0,0,0,0,0
71,1,-57079.1679688,-96442.875,0,9.51061812551,9.51061812551,0,0,9.51061812551,0,0,0,-4.01518143815,4.42960653899,-0.566560286063,0,0,0,0,0,0,0
1,2,-51867.8632812,-94083.4140625,0.00530530223109,9.47466068987,9.4799659921,0,0,9.47466068987,0,0,0,-2.029756875,3.85167293937,2.34404838989,0,0,0,0,0,0,0
2,2,-51874.953125,-94160.765625,0.00530530223109,9.41744278135,9.42274808358,0,0,9.41744278135,0,0,0,-1.98764992322,3.95400311547,2.31702235626,0,0,0,0,0,0,0
3,2,-51882.6796875,-94238.078125,0.00530530223109,9.30300696432,9.30831226655,0,0,9.30300696432,0,0,0,-1.9028333554,4.15892380007,2.13678081367,0,0,0,0,0,0,0
4,2,-51891.6640625,-94315.3046875,0.00530530223109,9.18857114729,9.19387644952,0,0,9.18857114729,0,0,0,-1.8279045253,4.3639388392,2.18323451982,0,0,0,0,0,0,0
5,2,-51902.546875,-94392.4140625,0.00530530223109,9.09612115429,9.10142645653,0,0,9.09612115429,0,0,0,-1.84924307415,4.57144503559,2.22534387916,0,0,0,0,0,0,0
6,2,-51918.0742188,-94480.265625,0.00530530223109,9.04764280937,9.0529481116,0,0,9.04764280937,0,0,0,-1.84720197988,4.78435864862,2.29946694834,0,0,0,0,0,0,0
7,2,-51937.59375,-94567.3125,0.00530530223109,9.02115028847,9.0264555907,0,0,9.02115028847,0,0,0,-2.02569113965,4.99997213182,2.25794224779,0,0,0,0,0,0,0
8,2,-51961.7890625,-94652.953125,0.00530530223109,8.99465776758,8.99996306981,0,0,8.99465776758,0,0,0,-2.21124234124,5.2154085949,2.33363515537,0,0,0,0,0,0,0
9,2,-51991.3476562,-94736.59375,0.00530530223109,8.93273441865,8.93803972088,0,0,8.93273441865,0,0,0,-2.36021222477,5.34722625913,2.14896164074,0,0,0,0,0,0,0
10,2,-52032.0039062,-94829.3046875,0.00530530223109,8.79994941366,8.80525471589,0,0,8.79994941366,0,0,0,-2.43620056449,5.3121095262,2.10306989873,0,0,0,0,0,0,0
11,2,-52078.125,-94919.7109375,0.00530530223109,8.63173358063,8.63703888286,0,0,8.63173358063,0,0,0,-2.47583340286,5.19351789153,2.01527805529,0,0,0,0,0,0,0
12,2,-52127.2773438,-95008.890625,0.00530530223109,8.46351774761,8.46882304984,0,0,8.46351774761,0,0,0,-2.60043668301,5.07487560116,1.92671882581,0,0,0,0,0,0,0
13,2,-52177.0234375,-95097.921875,0.00530530223109,8.32410753889,8.32941284112,0,0,8.32410753889,0,0,0,-3.07214878496,4.91149398821,2.15265370072,0,0,0,0,0,0,0
14,2,-52240.0820312,-95214.5625,0.00530530223109,8.24230857879,8.24761388102,0,0,8.24230857879,0,0,0,-3.26975226683,4.65873727952,2.20974222072,0,0,0,0,0,0,0
15,2,-52303.4765625,-95330.7265625,0.00530530223109,8.189315243,8.19462054524,0,0,8.189315243,0,0,0,-3.32996356827,4.36134382421,2.07259435184,0,0,0,0,0,0,0
16,2,-52370.671875,-95444.34375,0.00530530223109,8.13632190722,8.14162720945,0,0,8.13632190722,0,0,0,-3.39005934243,4.06385704584,1.99797523942,0,0,0,0,0,0,0
17,2,-52445.125,-95553.359375,0.00530530223109,8.08955606303,8.09486136526,0,0,8.08955606303,0,0,0,-3.41515488764,3.81233114174,1.93804550406,0,0,0,0,0,0,0
18,2,-52481.2265625,-95599.515625,0.00530530223109,8.05524520212,8.06055050435,0,0,8.05524520212,0,0,0,-3.36925446444,3.6529756476,2.08408083916,0,0,0,0,0,0,0
19,2,-52519.5117188,-95643.9296875,0.00530530223109,8.02716183294,8.03246713517,0,0,8.02716183294,0,0,0,-3.28788813532,3.53971688218,2.06772539137,0,0,0,0,0,0,0
20,2,-52560.0664062,-95686.1328125,0.00530530223109,7.99907846381,8.00438376604,0,0,7.99907846381,0,0,0,-3.21422711479,3.42649418808,1.86576757227,0,0,0,0,0,0,0
21,2,-52602.9765625,-95725.6953125,0.00530530223109,7.97724257007,7.9825478723,0,0,7.97724257007,0,0,0,-3.42563412576,3.30019528992,1.84994461258,0,0,0,0,0,0,0
22,2,-52678.6640625,-95784.7890625,0.00530530223109,7.96790162712,7.97320692935,0,0,7.96790162712,0,0,0,-4.03335923084,3.14761671593,1.83573522306,0,0,0,0,0,0,0
23,2,-52758.6679688,-95838.453125,0.00530530223109,7.96480815958,7.97011346181,0,0,7.96480815958,0,0,0,-4.83904328849,2.98180410274,1.82645509644,0,0,0,0,0,0,0
24,2,-52840.6601562,-95889.671875,0.00530530223109,7.96171469203,7.96701999426,0,0,7.96171469203,0,0,0,-5.6443144003,2.81598917898,1.81101663451,0,0,0,0,0,0,0
25,2,-52922.3164062,-95941.421875,0.00530530223109,8.00327702221,8.00858232445,0,0,8.00327702221,0,0,0,-6.09293926103,2.69309447357,1.78604774257,0,0,0,0,0,0,0
26,2,-53007.75,-96000.234375,0.00530530223109,8.13415094785,8.13945625008,0,0,8.13415094785,0,0,0,-5.82791856143,2.65622452096,1.74858202658,0,0,0,0,0,0,0
27,2,-53091.1757812,-96061.6953125,0.00530530223109,8.3096806712,8.31498597343,0,0,8.3096806712,0,0,0,-5.20417467556,2.66295180853,1.71517332087,0,0,0,0,0,0,0
28,2,-53173.65625,-96124.390625,0.00530530223109,8.48521039456,8.49051569679,0,0,8.48521039456,0,0,0,-4.57856739888,2.67008528075,1.71782849046,0,0,0,0,0,0,0
29,2,-53256.2695312,-96186.8984375,0.00530530223109,8.66074011792,8.66604542015,0,0,8.66074011792,0,0,0,-4.65700253054,2.67668584631,1.74466210761,0,0,0,0,0,0,0
30,2,-53340.0820312,-96247.8046875,0.00530530223109,8.86860988944,8.87391519167,0,0,8.86860988944,0,0,0,-4.7535491218,2.81651973222,1.77853430331,0,0,0,0,0,0,0
31,2,-53436.6679688,-96313.3203125,0.00530530223109,9.1411597573,9.14646505953,0,0,9.1411597573,0,0,0,-4.4513926263,3.22417448489,1.81985769966,0,0,0,0,0,0,0
32,2,-53534.5898438,-96376.9453125,0.00530530223109,9.44604967333,9.45135497556,0,0,9.44604967333,0,0,0,-4.36354250758,3.76584393898,1.95237678552,0,0,0,0,0,0,0
33,2,-53632.3046875,-96440.6484375,0.00530530223109,9.75093958936,9.75624489159,0,0,9.75093958936,0,0,0,-4.27576621378,4.3074769729,1.81797778276,0,0,0,0,0,0,0
34,2,-53728.2734375,-96506.3671875,0.00530530223109,9.8621420573,9.86744735953,0,0,9.8621420573,0,0,0,-4.12441180887,4.58586761349,1.81276329547,0,0,0,0,0,0,0
35,2,-53819.8476562,-96574.234375,0.00530530223109,9.58596962905,9.59127493128,0,0,9.58596962905,0,0,0,-3.84720984567,4.33765835633,1.84428980782,0,0,0,0,0,0,0
36,2,-53909.7539062,-96644.53125,0.00530530223109,9.1161097527,9.12141505493,0,0,9.1161097527,0,0,0,-3.50564380926,3.82617157509,1.64981540018,0,0,0,0,0,0,0
37,2,-53999.5078125,-96715.859375,0.00530530223109,8.64624987635,8.65155517858,0,0,8.64624987635,0,0,0,-3.16197199046,3.3150047694,1.71433458326,0,0,0,0,0,0,0
38,2,-54090.609375,-96786.8046875,0.00530530223109,8.32993702266,8.33524232489,0,0,8.32993702266,0,0,0,-3.10624973832,3.01496199146,1.61475341476,0,0,0,0,0,0,0
39,2,-54181.7578125,-96853.609375,0.00530530223109,8.32071821429,8.32602351652,0,0,8.32071821429,0,0,0,-2.90592008567,3.13647135353,1.60474582082,0,0,0,0,0,0,0
40,2,-54276.3632812,-96914.796875,0.00530530223109,8.46504642857,8.4703517308,0,0,8.46504642857,0,0,0,-2.24734430569,3.46868628832,1.59860651991,0,0,0,0,0,0,0
41,2,-54375.1835938,-96966.4140625,0.00530530223109,8.60937464286,8.61467994509,0,0,8.60937464286,0,0,0,-1.70595717498,3.80107963174,1.4020149799,0,0,0,0,0,0,0
42,2,-54478.96875,-97004.515625,0.00530530223109,8.69771956668,8.70302486891,0,0,8.69771956668,0,0,0,-1.73067890911,4.12367392368,1.39635797021,0,0,0,0,0,0,0
43,2,-54600.3476562,-97029.078125,0.00530530223109,8.67409790958,8.67940321182,0,0,8.67409790958,0,0,0,-1.70042603603,4.4263287306,1.38617015216,0,0,0,0,0,0,0
44,2,-54725.046875,-97043.796875,0.00530530223109,8.59449296203,8.59979826426,0,0,8.59449296203,0,0,0,-1.67283974865,4.71913085494,1.36788918108,0,0,0,0,0,0,0
45,2,-54849.3046875,-97060.3984375,0.00530530223109,8.51488801447,8.5201933167,0,0,8.51488801447,0,0,0,-1.73935391191,5.01201173041,1.34054950813,0,0,0,0,0,0,0
46,2,-54969.3632812,-97090.6328125,0.00530530223109,8.43528306691,8.44058836914,0,0,8.43528306691,0,0,0,-1.80471704562,5.30501540659,1.11976453049,0,0,0,0,0,0,0
47,2,-55081.4609375,-97146.234375,0.00530530223109,8.36207592169,8.36738122392,0,0,8.36207592169,0,0,0,-1.79981528411,5.52418858908,1.07965121539,0,0,0,0,0,0,0
48,2,-55122.7773438,-97175.9921875,0.00530530223109,8.30166438115,8.30696968338,0,0,8.30166438115,0,0,0,-1.65590524526,5.59544244642,1.28536472461,0,0,0,0,0,0,0
49,2,-55164.1875,-97203.0546875,0.00530530223109,8.24765064295,8.25295594518,0,0,8.24765064295,0,0,0,-1.44259637642,5.5926831133,1.2535087751,0,0,0,0,0,0,0
50,2,-55207.5859375,-97219,0.00530530223109,8.17990477382,8.18521007605,0,0,8.17990477382,0,0,0,-1.29869454593,5.57533293255,1.2280407457,0,0,0,0,0,0,0
51,2,-55239.0273438,-97220.25,0.00530530223109,8.08469464283,8.08999994507,0,0,8.08469464283,0,0,0,-1.29347778171,5.52898199039,1.19845888492,0,0,0,0,0,0,0
52,2,-55271.7539062,-97216.0625,0.00530530223109,7.97575238093,7.98105768316,0,0,7.97575238093,0,0,0,-1.35972872417,5.46795127224,1.16294945424,0,0,0,0,0,0,0
53,2,-55305.25,-97210.0546875,0.00530530223109,7.86681011903,7.87211542126,0,0,7.86681011903,0,0,0,-1.42756027625,5.40676319632,1.12173231726,0,0,0,0,0,0,0
54,2,-55339.0039062,-97205.828125,0.00530530223109,7.80159412639,7.80689942862,0,0,7.80159412639,0,0,0,-1.50979254743,5.43435595263,1.09830008535,0,0,0,0,0,0,0
